Population,Town
15621,"Mullingar, Westmeath"
15936,"Athlone Town, Westmeath"
16016,"Celbridge, Kildare"
16739,"Droichead Nua (formerly Newbridge), Kildare"
16910,"Clonmel Borough, Tipperary South"
17235,"Wexford Borough, Wexford"
18228,"Larne, Antrim"
18288,"Naas Town, Kildare"
18487,"Carlow Town, Carlow"
19417,"Navan (An Uaimh) Town, Meath"
19735,"Sligo Borough, Sligo"
19910,"Omagh, Tyrone"
20001,"Antrim"
20735,"Kilkenny Borough, Kilkenny"
21987,"Tralee Town, Kerry"
22051,"Ennis Town, Clare"
25089,"Coleraine, Londonderry"
26992,"Killarney Town, Kerry"
27175,"Swords, Fingal"
27201,"Carrickfergus, Antrim"
27433,"Newry Newry and Mourne, Armagh Down"
27821,"Newtownards, Down"
28717,"Ballymena Ballymenantrim"
30951,"Bray, Wicklow"
31020,"Drogheda Borough, Louth"
32505,"Dundalk Town, Louth"
46736,"Waterford City, Waterford"
54990,"Castlereagh urban area, Castlereagh, Down"
55000,"Craigavon urban area Craigavon, Armagh"
58388,"Bangor, North Down"
62056,"Newtownabbey, Antrim"
71465,"Lisburn, Antrim Down"
72000,"Galway City, Galway"
85016,"Derry, Londonderry"
86998,"Limerick City, Limerick"
186239,"Cork City, Cork"
333000,"Belfast, Antrim Down"
1045000,"Dublin, Dublin"
